screen_name,followers_count,statuses_count,name,description
wojespn,2644793,14807,Adrian Wojnarowski,ESPN Senior NBA Insider. NBA Countdown. Host of The Woj Pod.
RicBucher,804931,7051,Ric Bucher,B/R senior writer. Bucher&Friends podcast host. IG: https://t.co/7HLQBFxiN6 Business inquiries contact: DSpander@teamwass.com
MarcJSpearsESPN,475273,25414,Marc J. Spears,Sr. NBA writer ESPN The Undefeated. Ex-Chair NABJ Sports Task Force. Co-producer of doc Katrina Cop In The Superdome.LSU grad student🐯 SJSU🗡 Foothill JC🦉grad
McShay13,632338,5641,Todd McShay,Instagram: tmcshay
MelKiperESPN,672641,4619,Mel Kiper Jr.,ESPN NFL / College Draft Analyst; President of Mel Kiper Enterprises. Follow me on Instagram @MelKiperJrESPN
IzGutierrez,135830,7392,Izzy Gutierrez,NBA https://t.co/C2q2SRfvLa. NBA sidelines. Around the Horn. Univ. Florida graduate. Once voted more attractive than Pat Sajak. IG: mrizgutierrez Snap: izgriz55 🌈
MarkJackson13,270901,9749,Mark Jackson,
RealMikeWilbon,5059756,6303,Michael Wilbon,"Co-Host of Pardon the Interruption/@PTI, @ABC/@ESPNNBA analyst and Columnist."
WindhorstESPN,598046,11457,Brian Windhorst,NBA for ESPN; NY Times best-selling author
davidaldridgedc,676470,17436,David Aldridge,"I write. I talk. Have occasionally interviewed Presidents. Sick @AUEagles fan. Editor-in-Chief, The Athletic D.C. (c 2018, World Glomulous Toys Inc.)."
kevinarnovitz,96867,7853,Kevin Arnovitz,"NBA writer for ESPN the Magazine + https://t.co/C2q2SQXUmA. 

Co-host of Pack Your Knives (@PackKnives), a Top Chef podcast."
sheridanhoops,118799,33493,Chris Sheridan,"Senior Sports Gambling Writer, https://t.co/SLfaoV6yr7. Veteran journalist, not just NBA. Big fan of SCOTUS decision on PASPA. Partner: https://t.co/KEvQQJ5SQd"
ReggieMillerTNT,816569,5739,Reggie Miller,"18-year NBA vet, best known for 3-pointers and trash talking. Currently a game analyst for TNT's Thurs. night doubleheaders. HOF 2012. IG: @ReggieMillerTNT"
chadfordinsider,486960,8647,Chad Ford,ESPN NBA Insider
TheSteinLine,1245604,24331,Marc Stein,"Covering the NBA since 1994 … NOW for @nytimes and @nytsports. Also @ESPNSoccerToday co-founder, @CSUF alumnus and most of all: Proudest dad EVER"
RoyceWebb,35201,6841,Royce Webb,NBA for ESPN.
jadande,618754,42425,J.A. Adande,Director of Sports Journalism @MedillSchool Northwestern University
mcten,176196,44086,Dave McMenamin,NBA reporter for @ESPN | Larry David gets me | Treat the game well and it will treat you well
JalenRose,1721922,38567,Jalen Rose,"@JRLADetroit Founder. ABC NBA Countdown. @GetUpEspn, ESPN2 @JalenandJacoby #JalenvsEverybody. Best Selling Author. Psalm 23."
SHAQ,14675595,9394,SHAQ,"VERY QUOTATIOUS, I PERFORM RANDOM ACTS OF SHAQNESS"
dmorey,181040,7997,Daryl Morey,Houston Rockets General Manager ▪ Opportunity is not a lengthy visitor
EdwerderRFA,201585,74780,Ed Werder,"McCann Award winner. Ex-ESPN reporter with sense of humor seldom revealed on TV, fan of country music because it’s genre of poets/storytellers. #Doomsday pod"
realjerryjones,123924,12,Jerry Jones,"This is the official Twitter account for Jerry Jones, Owner & GM of the Dallas Cowboys."
johnelway,1099467,404,John Elway,President of Football Operations/General Manager for the Denver Broncos. Business Inquiries: Jeff@thenovoagency.com
TimTebow,4794007,1780,Tim Tebow,Blessed
TonyDungy,851949,18348,Tony Dungy,"Husband to @LaurenDungy, father of ten, author (https://t.co/OmTcSIV1gE), retired NFL coach, National Spokesman for @AllProDad. Live by Mark 8:36"
JerryRice,687726,6651,jerryrice,"Retired NFL Wide Receiver.

                Business Inquiries Contact - sashamarintaylor@gmail.com"
MichaelVick,2839362,7537,Michael Vick,"FOX Sports | FS1 NFL analyst |#AllianceATL Offensive Coordinator @TheAAF @AAFLegends | For media inquiries, contact @LaTonyaStory #V7"
FO_ASchatz,55746,32695,Aaron Schatz 🏈,"Head of Football Outsiders, ESPN NFL analyst. I specialize in nuanced, ice-cold NFL takes. Former Providence club DJ and spring break beach MC."
DeionSanders,1038020,61318,Deion Sanders,Let's make a difference in someone's life today. #Truth #Standtghtr #Prime5 #InmyPrime @welloffforever #CoachPrime
JayGlazer,1126944,15707,Jay Glazer,"Cast member of FOX NFL Sunday and Ballers on HBO, Founder of MVP: Merging Vets&Players and Unbreakable Performance, host Bellator MMA"
nflcommish,531759,528,Roger Goodell,Commissioner of the National Football League
peter_king,1792478,40729,Peter King,NBC Sports
wingoz,970434,80025,trey wingo,Not really a morning person.....
mortreport,2277234,21613,Chris Mortensen,"Christ follower, Husband, Father, Veteran...On a cancer journey... Son of Honduran immigrant ... Matthew 18:6 ... Avatar: son Alex handing off to Run DMC."
merrilhoge,170250,5590,Merril Hoge,"Motivational speaker, Former @nfl athlete & @espn analyst, author, father and cancer survivor. New book #BRAINWASHED available now! #findaway"
AndrewBrandt,187609,48120,Andrew Brandt,"Exec Director Moorad Center, Villanova; NFL Biz Insider, Amazon; Columnist, TheMMQB; Business of Sports Podcast. Dad, triathlete, former Packers/ESPN.#neverpeak"
SandoESPN,95708,42185,"Mike Sando, ESPN.com","Sr Writer, ESPN. NFL Columnist, ESPN+. HOF selector. PFWA officer. QB Tiers originator. Covering NFL since '98. Alum: News Tribune + Spokesman-Review."
treykerby,70221,77807,Taco Trey Kerby,Once fist-bumped Guy Fieri. #TheStarters
haralabob,145081,80,Haralabos Voulgaris,
WorldWideWob,279575,64176,Rob Perez,Co-Host of BUCKETS with @CassidyHubbarth. Season 3 coming soon @ActionNetworkHQ & TBA.
DragonflyJonez,121626,522568,Beyonce has an uncle named Larry Beyince. Bruh....,You gonna just decide that I'm drunk? Who are you to decide that I'm drunk? I make that decision. That decision is between me and God.
mdotbrown,30212,107104,Myles Brown,nah.
talkhoops,111515,330390,Zach Harper,"Writing at @TheAthleticNBA. Pod at @CountTheDings, IG: talkhoops | Get buckets. Don’t need my jokes explained to me. Rhetorical tweets. #TeamWass"
jeskeets,98882,68037,J.E. Skeets,"Co-host of @TheStarters, a daily @NBA television show + podcast on @NBATV (weekdays at 6p ET), @ApplePodcasts, @Spotify, @YouTube, etc."
TasMelas,78266,41625,Tas Melas,"Co-host of @TheStarters: a daily NBA show and podcast on @NBATV, YouTube, iTunes, Google Play."
netw3rk,180376,140580,☕netw3rk,Jason Concepcion Sr. Creative @ringer | @binge_mode ⚡️| host: nba desktop | insta: x_netw3rk_x | jason.concepcion@theringer.com
DarthAmin,108110,141750,Chillin in my Bacta,It is with great reluctance that I have agreed to this calling.
NateDuncanNBA,79425,96656,Nate Duncan,"NBA cap guy, scout, attorney. #TwitterNBAShow and Daily Dunc'd On Pod https://t.co/xREOEmcH4o  Support us: https://t.co/2jnmrkgF2x Business? natebduncan at gmail"
ZachLowe_NBA,691800,54847,Zach Lowe,"Senior Writer, ESPN"
teamziller,48571,38774,Tom Ziller,"Subscribe to Good Morning It's Basketball, a daily NBA newsletter. https://t.co/bfa5l1ObeK Read me on @SBNationNBA."
HPbasketball,124507,322640,Hardwood Paroxysm,"Matt Moore, NBA Writer for @ActionNetworkHQ. Episodic writer. Part-time Maniac. I hate your team."
JohnClaytonNFL,1393580,4555,John Clayton,"https://t.co/9C9r340h6q
Host on @710espnseattle M-F 10a-Noon & Sat 9-Noon. Plus, ""SCHOOLED w/The Professor"" the podcast."
billbarnwell,169867,68279,Bill Barnwell,"@espn
barnwellespn@gmail.com"
SportsTVRatings,33423,42472,SportsTVRatings,"Chronic apostrophe abuser/""whoa"" purist, scolder of @DarrenRovell. I block ""loutsourcers"" i.e. if I retweet something and you're rude to the original Tweeter"
StatsbyLopez,9689,14084,Michael Lopez,"Data & Analytics @NFL, by way of Skidmore, Brown, UMass, and Bates."
Herring_NBA,62436,101366,Chris Herring,Senior NBA writer for ESPN/FiveThirtyEight. Adjunct professor at Northwestern. Ex-Knicks beat writer at The Wall Street Journal. University of Michigan alum.
WaltHickey,20379,31372,Walter Hickey,"https://t.co/FUsQZ4YrUf & Senior Editor for Data, @thisisinsider. Previously: Chief Culture Writer @FiveThirtyEight and @WilliamAndMary."
BFawkesESPN,7952,6545,Ben Fawkes,"Editor of Chalk, ESPN's gambling section. Behind The Bets podcast host. Also NFL + NFL draft. Brooklyn born, CT based. Fan of all teams Minnesota"
notthefakeSVP,1923331,49281,Scott Van Pelt,"Actor, world renowned connoisseur and professional gentleman of leisure - Mr. Whitefolks. AKA The trendsetter of Muskegon"
skepticalsports,14442,17964,Benjamin Morris,"Sports epistemology junkie. Husband and father of two. From Alaska via Hawaii, the Army, Yale, Stanford, @FiveThirtyEight, and many casinos in between."
robertmays,84601,14323,Robert Mays,"Staff writer, @ringer. Former Grantlander. Often at the movies. Line-play enthusiast. I wear a lot of band t-shirts. maysnfl@gmail.com."
tatefrazier,58555,19466,Tate Frazier,"to bag, or not to bag, that is the question"
JustinVerrier,16905,15533,Justin Verrier,"Senior Editor, @ringer. Eat, eat, eat, eat MCs."
stat_sam,3765,476,Sam Ventura,
SherwoodStrauss,93548,88407,Ethan Strauss,The Athletic
michaelsmith,515290,64443,Michael Smith,just another black man caught up in the mix trying to make a dollar out of 15 cents (a dime and a nickel).
CKlosterman,180547,2230,Chuck Klosterman,
ESPNLunardi,220869,7631,Joe Lunardi,"ESPN Bracketologist, Saint Joseph's University administrator, husband (Pam), father (Emily and Elizabeth) and somewhat better golfer. #Rich2013"
outsidethenba,27950,56086,James Herbert,"NBA writer, @CBSSports. email: james@never.computer"
espn_macmahon,92233,57574,Tim MacMahon,Cover NBA for @espn. ESPN 103.3 role player. Banned MacMahon on The Hoop Collective. Got my own (ironically banned) theme song.
DanHanzus,63225,30888,Dan Hanzus,https://t.co/r2IXpGCZLJ columnist | @AroundTheNFL Podcast | @ThrowbackPod | Area Man
MichelleDBeadle,1497372,25501,Michelle Beadle,"I like dogs, guacamole, naps & on a good day, humans. Sheep not welcome. I don't block folks so give it your best shot. 😘 (Instagram: michelle.beadle)"
kirkgoldsberry,48948,4410,Kirk Goldsberry,"NBA Analyst at ESPN, Author of Sprawlball (out in April) Prof at University of Texas. Formerly VP of Strategic Research at Spurs, and hexagonist at Grantland"
DannyLeroux,32298,60241,Danny Leroux,"Minutiae for the masses. Sportswriter, author & podcast host (Dunc'd On/RealGM Radio/Warriors Watch/#TwitterNBAShow) CBA @sn_nba/@realgm Warriors @TheAthleticSF"
smartfootball,121502,507,Chris B. Brown,"Chris B. Brown, Smart Football editor, and author of The Art of Smart Football (Amazon: https://t.co/STgUVsOXkl ). chris@smartfootball.com"
ChrisWesseling,93097,106525,Chris Wesseling,Survivor.
StanfordSteve82,76076,10705,Stanford Steve,"IG - @stanfordsteve82 
SportsCenter w/ SVP
Co-Host of Stanford Steve & The Bear podcast w/ @chrisfallica
ESPN Plaza
Building 4
2nd floor
Bristol, CT 06010"
Rachel__Nichols,1009067,34249,Rachel Nichols,"Host of #ESPN's The Jump, weekdays 3p ET/12p PT. We're just hanging around, Burnin’ it down, Sipping' on some cold Jack Daniel's, Jammin' to some old Alabama"
KNegandhiESPN,98817,47747,Kevin Negandhi,"living the dream on @SportsCenter at 6p, CFB on ABC.. @TempleUniv made, Philly diehard raised in the 700 level, wish they built @Wawa in CT, it’s “wooder” ice."
KevinOConnorNBA,120236,24777,Kevin O'Connor,"NBA writer and podcaster, @ringer."
richeisen,1154580,47167,Rich Eisen,"This is my official Twitter. But, as always, the yellow line is unofficial."
chadmillman,76473,5768,chad millman,"Head of Media, The Action Network, trying to make stuff that makes sports fans smarter."
Jpdabrams,35419,6611,Jonathan Abrams,Bleacher Report. Author of All The Pieces Matter and Boys Among Men. Alum of @grantland33 @nytimes and @latimes
CariChampion,233487,33602,Cari Champion,"BeHonest avail on Itunes/espnradioapp. Lakernation, UCLA. SoCal. IG:carichampion: Snapchat:championcari : ESPN."
BigWos,15550,148560,Wos,"""So Trill and so sincere. Yeah, I'm both them there."" In The Owl We Trust. Mr. #MeToo. Closteted Commie. @CountTheDings X @Uninterrupted's The Score"
ChrisRyan77,95565,5793,Chris Ryan,"Editorial Director, @ringer Host @thewatchpod & Talk The Thrones"
greggrosenthal,181176,29665,Gregg Rosenthal,Football.
MarcSesslerNFL,88840,22814,Marc Sessler,Writer for @nflnetwork and member of The Around the NFL Podcast. ☀️ IG: marcsessler
beatingthebook,28319,48870,Gill Alexander,Host @VSiNLive Vegas Stats & Information Network https://t.co/ee0buXOYO2 | Beating The Book Pod | @MGMResortsIntl #BehindTheBook |
TonyReali,788853,19910,Tony Reali,I am of the opinion that the small spot between the men's & women's bathroom at LaGuardia Airport is the most romantic place on Earth.
tomhaberstroh,160782,41931,Tom Haberstroh,#ALSPepperChallenge. NBC Sports NBA Insider. @countthedings pod host. NBA analytics / sports science / player health. Schooled at ESPN and 🎩
kpelton,98681,79994,Kevin Pelton,NBA writer for ESPN. Co-host of the Fabulous @peltoncast. Pocket square enthusiast. Using numbers to learn about the game.
Neil_Paine,13694,8400,Neil Paine,"Stathead, sportswriter, editor. I work for @FiveThirtyEight (before that: @sports_ref, the @ATLHawks & @GeorgiaTech). Host of The Lab and @PanicCityPod."
kpatra,11052,14914,Kevin Patra,"https://t.co/r2IXpGCZLJ's Around The NFL writer. The avatar is not me, it is a rendering of my ATNFL Podcast persona, drawn by the brilliant @afrederickfrost"
MikePradaSBN,38103,102350,Mike Prada,"@SBNationNBA editor, @BulletsForever founder. Having too much pun on here. mikeprada AT sbnation DOT com"
ramonashelburne,294570,45019,Ramona Shelburne,Senior Writer for https://t.co/C2q2SQXUmA. Doing pretty good for a girl.
djacoby,108213,6165,Jacoby,Host of 'Jalen and Jacoby' on ESPN2 at 2pm.
PabloTorre,136095,44814,Pablo S. Torre,"@HIGHNOONonESPN, and so forth"
drewmagary,150626,5311,Drew Magary,Deadspin. GQ. The Hike and other books. MOTHERFUCKING CHOPPED CHAMPION https://t.co/sKRXEV1vZE
megynkelly,2414861,13946,Megyn Kelly,"Happily married to Doug, crazy in love with my children Yates, Yardley, and Thatcher, journalist."
seanhannity,3836828,39308,Sean Hannity,"TV Host Fox News Channel 9 PM EST. Nationally Syndicated Radio Host 3-6 PM EST. https://t.co/z23FRgA02S Retweets, Follows NOT endorsements! Due to hackings, no DM’s!"
BillOReilly,2928714,13063,Bill O'Reilly,#1 NYT Best Seller ‘Killing the SS’ out now. Watch my @NoSpinNews analysis on https://t.co/MrYUtLQiwX.
GovMattBevin,85061,6160,Governor Matt Bevin,Governor of the Commonwealth of Kentucky
GovernorCorbett,19171,5479,Governor Tom Corbett,"Follow for the latest from Pennsylvania Governor Tom Corbett and his administration. Together, we are building a #StrongerPA. Updated by staff."
GovRickSnyder,438,2,Gov. Rick Snyder,
GovernorQuinn,17518,2058,Governor Pat Quinn,"Official Twitter account of Illinois Governor Pat Quinn.

http://t.co/HSnnAqYuZO"
MEGovernorNews,3706,1034,Paul LePage,Paul LePage is Governor of the State of Maine.  This account will provide you with the most up to date news from the Governor's office.
JohnCarneyDE,21831,3100,Governor John Carney,Official Twitter page for Governor John Carney.
DalrympleforGov,1785,964,Jack Dalrymple,Official Twitter of the Governor of North Dakota.
SDGovDaugaard,20975,5231,Gov. Dennis Daugaard,Gov. Dennis Daugaard is the 32nd Governor of South Dakota.
GovMalloyOffice,137679,13467,Governor Dan Malloy,Official account of the Office of Connecticut Governor Dannel P. Malloy. Tweets are from office staff.
NYGovCuomo,844255,25069,Andrew Cuomo,"Father, fisherman, motorcycle enthusiast, 56th Governor of New York"
GovPeterShumlin,21293,7578,Peter Shumlin,81st Governor of Vermont. #vtforward
GovernorDeal,151978,3101,Governor Nathan Deal,Governor Nathan Deal is the 82nd Governor of Georgia.
GovMarkDayton,148674,4167,Governor Mark Dayton,"Check here for updates from the Office of Governor Mark Dayton, Minnesota's 40th Governor."
GovWalker,188909,13806,Governor Walker,"Official Twitter Account of the 45th Governor of the State of Wisconsin, Scott Walker."
GovMaryFallin,38098,6019,Governor Mary Fallin,Official Twitter account of Oklahoma Governor Mary Fallin.
OHPressSec,6717,1161,Gov Kasich Comm Dept,Twitter Headquarters of Governor @JohnKasich's Communication Office.
hickforco,123709,2833,John Hickenlooper,Colorado Governor John Hickenlooper's personal twitter account. Follow my official Governor's account @GovOfCO
GovernorVA,140388,7560,Ralph Northam,Official account for Virginia Governor Ralph Northam
GovChristie,918636,9397,Governor Christie,Official Twitter Account of the 55th Governor of New Jersey. Husband and proud father of four. ABC News Political and Legal Contributor
GovJeffColyer,20789,1095,Governor Jeff Colyer,"Official Twitter page for the Kansas Governor's Office. 47th Governor Jeff Colyer, M.D. #ksleg"
TerryBranstad,23218,6981,Terry Branstad,This is the Twitter account for former Iowa Gov. Terry Branstad.
GovKitz,17430,3874,John Kitzhaber,
BrianSandoval,31920,5917,Brian Sandoval,"Governor of Nevada. 
Personal tweets by Governor Sandoval 
are marked “-BES”."
GovHerbert,42716,6156,Gov. Gary Herbert,Proudly serving as the 17th governor of the great state of Utah.  Facebook: https://t.co/2ErGDynzXW #utpol
Gov_Martinez,17869,590,Susana Martinez,Governor of New Mexico #NMGOV #GovernorMartinez. Follow me on Facebook @ https://t.co/pjqaBFGmID
SeanParnellAK,5548,1970,Sean Parnell,"Official Twitter page of Sean Parnell, former Alaska Governor and Lt. Governor."
GovernorMarkell,49402,8187,Gov. Jack Markell,Former Governor of #Delaware (2009-17) who signs his tweets -JM.
GovBrewer,54090,2568,Jan Brewer,Arizona's 22nd Governor
MikeBeebeAR,17066,729,Mike Beebe,Arkansas's 45th Governor. Account maintained by former staff.
GovRBentley,38613,7083,Governor Robert Bentley,Dad. Papa. Physician. Job Creator. Tornado Recoverer. Road Builder. PreK Expander. Overcomer. And 53rd Governor of Alabama. God Bless our #GreatState.
GovGregoire,9251,467,Chris Gregoire,"Governor, State of Washington"
ButchOtter,23004,1726,Idaho Governor,If you are having trouble with this account please call Jon Hanian at (208) 334-2100.
GovJayNixon,35237,5378,Governor Jay Nixon,"Missouri’s 55th Governor, lawyer, husband, and father.  Eternal optimist, sports fan, relentless booster for the outdoors and all things #Missouri"
ScottWalker,282699,14026,Scott Walker,"Husband, father of two, 45th Governor of Wisconsin, reformer, leader & principled conservative."
BillHaslam,142932,1960,Gov. Bill Haslam,Governor of Tennessee.
brianschweitzer,4887,244,Brian Schweitzer,Official Twitter Account for former Montana Governor Brian Schweitzer. Book is now available at https://t.co/yxjUXehg7X.
HaleyBarbour,33719,808,Haley Barbour,"Husband, Father, Grandfather | Founding Partner at BGR Group | Former Mississippi Governor, RGA Chairman, and RNC Chairman"
JerryBrownGov,1110040,2225,Jerry Brown,On Facebook at: http://t.co/ZhAotX27jb
DaveEHeineman,4563,2062,Dave Heineman,Former Governor of Nebraska
GovAbbott,162011,5699,Gov. Greg Abbott,Official news from the Office of Texas Governor Greg Abbott. You can follow the governor's personal feed @GregAbbott_TX
MassGovernor,240964,11548,Charlie Baker,Official account of Governor Charlie Baker of Massachusetts.
JohnKasich,952630,11564,John Kasich,"Husband, Dad and Governor of Ohio. Learn more about my latest book at https://t.co/Vdhq3le6UO"
BobbyJindal,247165,3508,Gov. Bobby Jindal,"Husband, Dad and 55th Governor of the great state of Louisiana."
BobMcDonnell,29958,2601,Bob McDonnell,"On the path to restoration... 71st Governor of Virginia, Dad, Brother, Business Owner, Golfer, Notre Dame Alumnus, Professor, and Proud American."
neilabercrombie,13409,7139,Neil Abercrombie,"Official Twitter account of the Governor of the State of Hawaii, Governor Neil Abercrombie."
SenHydeSmith,4166,294,U.S. Senator Cindy Hyde-Smith,Office of U.S. Senator Cindy Hyde-Smith (R-Miss.).
SenDougJones,18062,572,Doug Jones,U.S. Senator for Alabama
SenTinaSmith,32566,1829,Senator Tina Smith,Official account of U.S. Senator Tina Smith of Minnesota. More here: https://t.co/9tIuJLpMr0 https://t.co/ijpKqkvEVA
SenJohnKennedy,36180,1186,John Kennedy,The official Twitter page for U.S. Senator John N. Kennedy (R-La.) https://t.co/4ceoNzx1Ck
SenCortezMasto,31279,3939,Senator Cortez Masto,U.S. Senator from the great state of Nevada.
SenKamalaHarris,551497,2490,Kamala Harris,United States Senator for California
SenThomTillis,66687,3877,Senator Thom Tillis,Official Twitter account of North Carolina U.S. Senator Thom Tillis.
SenSasse,133576,891,Senator Ben Sasse,The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.
SenatorRounds,18886,2728,Senator Mike Rounds,U.S. Senator for South Dakota
SenDanSullivan,31823,2098,SenDanSullivan,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.
sendavidperdue,54832,3486,David Perdue,Official Twitter account for U.S. Senator David Perdue of Georgia.
SenJoniErnst,48566,2295,Joni Ernst,Follow for news and updates from the Office of Iowa Senator Joni K. Ernst. Tweets from Joni are signed JKE.
SenBrianSchatz,43981,1468,Senator Brian Schatz,"Tweets from the Office of U.S. Senator Brian Schatz, representing the great state of Hawaii."
senatemajldr,708375,3385,Leader McConnell,U.S. Senate Majority Leader Mitch McConnell
MartinHeinrich,182024,6709,Martin Heinrich,United States Senator from New Mexico
SenatorRisch,68423,1397,Jim Risch,U.S. Senator for Idaho
SenatorBaldwin,103979,12229,Sen. Tammy Baldwin,"Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin."
SenTedCruz,1151960,9084,Senator Ted Cruz,Representing the State of Texas in the United States Senate.
SenatorFischer,71084,4912,Senator Deb Fischer,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington
SenAngusKing,195460,3693,Senator Angus King,News from the office of Independent U.S. Senator Angus King of Maine. Operated by the Press Team. Following/retweeting does not equal an endorsement.
SenatorHeitkamp,117246,12319,Sen. Heidi Heitkamp,"Official Twitter account for Heidi Heitkamp, U.S. Senator for #NorthDakota. Learn more on Facebook: https://t.co/ZCl7NIcTbR Instagram: https://t.co/SXzn7kNVUs"
